ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
1061,Busy Beaver #51,2940,Library Road,Pittsburgh,PA,15234,Pittsburgh-132,Chain Packaged Food Only
1062,Busy Beaver #53,88,Steuben Street,Pittsburgh,PA,15204,Crafton,Chain Packaged Food Only
1063,Butcher On Butler,5143,Butler Street,Pittsburgh,PA,15201,Pittsburgh-110,Retail/Convenience Store
1064,Butter&#39;s,2703,Grover St,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor
1065,Byham Theater,101,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor
1066,Byte Me Bakery,222,3rd Avenue,Carnegie,PA,15106,Carnegie,Food Processor
1067,C &amp; C News &amp; Snax,2,PPG Place,Pittsburgh,PA,15222,Pittsburgh-101,Retail/Convenience Store
1068,C &amp; L Shows Popcorn Trailer,143,Wyndfield  Drive,Mount Pleasant,PA,15666,Out Of County,Mobile
1069,C A D A programs,419,Lincoln  Highway,North Versailles,PA,15137,North Versailles,Child Food Service
1070,C F U of USA #146,4400,3rd  St,Mc Keesport,PA,15132,Versailles,Social Club-Bar Only
1071,CAPA - High School Cafeteria 1st Fl,111,9th Street,Pittsburgh,PA,15222,Pittsburgh-102,School Full Service Kitchen
1072,CC Catering ,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,Transient Caterer
1073,CC&#39;s Cafe,2218,Main St,Pittsburgh,PA,15215,Sharpsburg,Restaurant with Liquor
1074,CC&#39;s Dog &amp; Burger,698,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor
1075,CCAC Allegheny Foerster Student Service Center,808,Ridge Avenue,Pittsburgh,PA,15212,Pittsburgh-122,University Food Service
1076,CCAC Boyce Campus Bookstore,595,Beatty  Road,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only
1077,CCAC Boyce Campus Cafeteria,595,Beatty Rd,Monroeville,PA,15146,Monroeville,University Food Service
1078,CCAC Boyce Instructional Kitchen N521,595,Beatty  Road,Monroeville,PA,15146,Monroeville,University Food Service
1079,CCAC Instructional Kitchen,8701,Perry Hwy,Pittsburgh,PA,15237,McCandless,University Food Service
1080,CCAC Jones Hall Culinary Arts,808,Ridge Avenue,Pittsburgh,PA,15212,Pittsburgh-122,University Food Service
1081,CCAC North Book Store #1318,8701,Perry Hwy,Pittsburgh,PA,15237,McCandless,Chain Retail/Convenience Store
1082,CCAC North Campus Cafeteria,8701,Perry Hwy,Pittsburgh,PA,15237,McCandless,University Food Service
1083,CCAC Police &amp; Fire Academy ,700,West Ridge Road,Allison Park,PA,15101,McCandless,University Food Service
1084,CCAC South Campus Bookstore,1750,Clairton Road,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only
1085,CCAC South Campus Cafeteria,1750,Clairton Rd,West Mifflin,PA,15122,West Mifflin,University Food Service
1086,CCAC West Hills Bookstore,1000,McKee Road,Oakdale,PA,15071,North Fayette,University Food Service
1087,CCAC West Hills Cafe,1000,McKee  Road,Oakdale,PA,15071,North Fayette,Chain Restaurant without Liquor
1088,CDC Kitchens,1603,Broadway Avenue,Pittsburgh,PA,15216,Pittsburgh-119,Commissary
1089,CIO Stores #14,1909,Painters Run Road,Pittsburgh,PA,15241,Upper St Clair,Chain Retail/Convenience Store
1090,CIT Baseball,300,Ewing Rd,Pittsburgh,PA,15205,Crafton,Community Service Facility/Exempt
1091,CJ Chug&#39;s,2895,Custer Ave,Pittsburgh,PA,15227,Baldwin Boro,Restaurant with Liquor
1092,CK 9th Street Cafe ,330,9th  Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant without Liquor
1093,CMU / Alpha Phi Omega Stadium Concession,5000,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-114,Community Service Facility/Exempt
1094,CMU / Au Bon Pain @Skibo Hall/Cohon ,5032,Forbes Avenue,Pittsburgh,PA,15213,Pittsburgh-114,Chain Restaurant without Liquor
1095,CMU / Carnegie Mellon Cafe / Resnik House,5000,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-114,University Food Service
