"938","5001 Baptist Rd, Pittsburgh, PA, 15236","Match","Exact","5001 BAPTIST RD, PITTSBURGH, PA, 15236","-80.00087,40.35745","639676155","L"
"348","1616 Mt Nebo  Road, Sewickley, PA, 15143","No_Match"
"939","1521 Wallace  Road, Library, PA, 15129","Match","Exact","1521 WALLACE RD, LIBRARY, PA, 15129","-79.97877,40.30155","607709520","L"
"735","338 Bouquet  Street, Pittsburgh, PA, 15213","Match","Non_Exact","338 S BOUQUET ST, PITTSBURGH, PA, 15213","-79.953125,40.4401","51649096","R"
"540","5335 Penn Avenue, Pittsburgh, PA, 15224","Match","Exact","5335 PENN AVE, PITTSBURGH, PA, 15224","-79.937805,40.46461","635648539","L"
"3","320 Guys Run Road, Pittsburgh, PA, 15238","No_Match"
"734","1631 Perry  Highway, Portersville, PA, 16051","Match","Exact","1631 PERRY HWY, PORTERSVILLE, PA, 16051","-80.15367,40.94738","625294465","R"
"2","3750 Saw Mill Run Boulevard, Pittsburgh, PA, 15227","No_Match"
"929","110 Park Drive, Pittsburgh, PA, 15227","No_Match"
"737","7745 Tioga St, Pittsburgh, PA, 15208","Match","Exact","7745 TIOGA ST, PITTSBURGH, PA, 15208","-79.88904,40.450836","51648094","L"
"542","933 Maryland Ave Rear, Duquesne, PA, 15110","Match","Exact","933 MARYLAND AVE, DUQUESNE, PA, 15110","-79.85083,40.36238","629969349","L"
"1","100 5th Avenue, Pittsburgh, PA, 15222","Tie"
"736","1900 Cochran Road, Pittsburgh, PA, 15220","Match","Exact","1900 COCHRAN RD, PITTSBURGH, PA, 15220","-80.06632,40.393074","51631374","R"
"541","933 Maryland Ave Rear, Duquesne, PA, 15110","Match","Exact","933 MARYLAND AVE, DUQUESNE, PA, 15110","-79.85083,40.36238","629969349","L"
"739","1500 Chicago Street, Pittsburgh, PA, 15214","Match","Exact","1500 CHICAGO ST, PITTSBURGH, PA, 15214","-79.99961,40.47916","51709758","R"
"544","8970 Covenant Avenue, Pittsburgh, PA, 15237","No_Match"
"7","210 10th Street, Pittsburgh, PA, 15222","Match","Exact","210 10TH ST, PITTSBURGH, PA, 15222","-79.995575,40.444355","51635002","R"
"738","1102 Freemont  Street, Mc Keesport, PA, 15132","Match","Non_Exact","1102 FREEMONT ST, MCKEESPORT, PA, 15132","-79.84199,40.346085","51673223","R"
"543","1819 Washington Rd, Pittsburgh, PA, 15241","Match","Exact","1819 WASHINGTON RD, PITTSBURGH, PA, 15241","-80.05793,40.345352","617243178","L"
"6","353 9th Avenue, Tarentum, PA, 15084","Tie"
"546","1001 Marion  Circle, Clairton, PA, 15025","No_Match"
"5","227 Bonvue Street, Pittsburgh, PA, 15214","Match","Exact","227 BONVUE ST, PITTSBURGH, PA, 15214","-80.01435,40.489876","51625284","R"
"340","256 Craig Street, Pittsburgh, PA, 15213","Tie"
"545","480 Park Avenue, Natrona Heights, PA, 15065","Match","Exact","480 PARK AVE, NATRONA HTS, PA, 15065","-79.72031,40.623554","51707346","L"
"4","201 Caldwell Avenue, Wilmerding, PA, 15148","Match","Exact","201 CALDWELL AVE, WILMERDING, PA, 15148","-79.81078,40.392593","51674833","L"
"548","3123 Cordell  Place, Pittsburgh, PA, 15210","Match","Exact","3123 CORDELL PL, PITTSBURGH, PA, 15210","-79.96325,40.41783","51649584","L"
"547","6234 Auburn Street, Pittsburgh, PA, 15206","Match","Exact","6234 AUBURN ST, PITTSBURGH, PA, 15206","-79.9176,40.465565","607622652","R"
"9","355 Lincoln Hwy, North Versailles, PA, 15137","Match","Non_Exact","355 LINCOLN AVE, NORTH VERSAILLES, PA, 15137","-79.8214,40.376892","51672978","L"
"549","2275 Bedford Avenue, Pittsburgh, PA, 15219","Match","Exact","2275 BEDFORD AVE, PITTSBURGH, PA, 15219","-79.97598,40.449234","51628620","L"
"8","8 Market  Street, Pittsburgh, PA, 15222","Match","Exact","8 MARKET ST, PITTSBURGH, PA, 15222","-80.00432,40.43809","51633780","R"
"731","5000 Alicia Dr, Bethel Park, PA, 15102","No_Match"
